CaseId,ActivityId,ActivityName,Resource,TimestampEnd,Timestamp
f02fee85,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
f02fee85,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
f02fee85,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
f02fee85,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
06d66f27,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
06d66f27,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
06d66f27,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
06d66f27,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
93e1b10d,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
93e1b10d,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
93e1b10d,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
93e1b10d,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
c508a098,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
c508a098,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
ebb38b9c,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
ebb38b9c,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
ebb38b9c,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
ebb38b9c,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
5dfd71a5,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
5dfd71a5,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
5dfd71a5,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
5dfd71a5,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
742a62a4,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
742a62a4,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
742a62a4,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
742a62a4,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
a1e9791a,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
a1e9791a,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
a1e9791a,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
a1e9791a,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
1712db84,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
1712db84,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
1712db84,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
1712db84,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
b245b1cf,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
b245b1cf,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
b245b1cf,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
b245b1cf,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
afb2dc18,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
afb2dc18,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
5920c4bb,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
5920c4bb,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
5920c4bb,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
5920c4bb,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
8bc7f45c,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
8bc7f45c,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
8bc7f45c,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
8bc7f45c,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
60fc8175,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
60fc8175,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
60fc8175,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
60fc8175,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
c5410f43,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
c5410f43,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
c5410f43,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
c5410f43,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
e0760cf4,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
e0760cf4,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
e0760cf4,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
e0760cf4,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
b7ea6f89,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
b7ea6f89,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
b7ea6f89,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
b7ea6f89,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
e1a4a528,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
e1a4a528,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
e1a4a528,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
e1a4a528,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
de6353e8,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
de6353e8,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
de6353e8,3a,3,A,2019-04-01 01:20:00,2019-04-01 00:50:00
de6353e8,4,4,,2019-04-01 02:00:00,2019-04-01 01:20:00
6c67964e,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
6c67964e,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
6c67964e,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
6c67964e,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
d17cc7fe,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
d17cc7fe,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
d17cc7fe,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
d17cc7fe,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
66ed2427,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
66ed2427,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
66ed2427,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
66ed2427,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
dfaf4dd2,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
dfaf4dd2,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
dfaf4dd2,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
dfaf4dd2,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
b24d8192,1,1,,2019-04-01 00:15:00,2019-04-01 00:05:00
b24d8192,2,2,,2019-04-01 00:50:00,2019-04-01 00:30:00
b24d8192,3b,3,B,2019-04-01 02:00:00,2019-04-01 01:00:00
b24d8192,4,4,,2019-04-01 02:50:00,2019-04-01 02:10:00
